Month,GMV,Orders
2026-04-01 00:00:00,4872302.85,54991
2026-05-01 00:00:00,10367945.66,66393
2026-06-01 00:00:00,9868649.42,69625
2026-07-01 00:00:00,8115538.1,63353
2026-08-01 00:00:00,9568575.17,62225
