Period,Visits,Orders,Conversion Rate,GMV,
Last month,435923,51747,0.11870674408095008,5441795.67,
2 months ago,411249,52801,0.1283918015606117,5099521.58,
,,,,,
,0.0599977142801563,-0.019961743148804,-0.009685057479661613,0.06711886294243309,342274.08999999985
